"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"8","TU","Fish",31617,7,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek; 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1963,6,14,"G.E. Gunning & J. Shireman",NA,NA,"PreservedSpecimen","",NA,"control","1954-1963","control_1954-1963",4
"6","TU","Fish",31117,9,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek, 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1963,4,27,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1954-1963","control_1954-1963",4
"7","TU","Fish",31554,72,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek; 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1963,6,13,"G.E. Gunning & J. Shireman",NA,NA,"PreservedSpecimen","",NA,"control","1954-1963","control_1954-1963",4
"1","TU","Fish",31000,10,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek, 1.5 miles E of Hwy. 7 in Bogalusa (left bank).",NA,NA,1963,12,12,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1954-1963","control_1954-1963",4
"3","TU","Fish",31061,5,"Carpiodes velifer","Catostomidae",NA,NA,30.76222,-89.83111,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River at River Mile 53.7, 2.3 miles SE of Bogalusa.",NA,NA,1963,8,30,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1954-1963","control_1954-1963",4
"17","TU","Fish",79591,4,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek - Fish Stat. #1.",NA,NA,1972,10,17,"B.A. Thompson & Cashner",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973","control_1964-1973",4
"14","TU","Fish",55943,68,"Carpiodes velifer","Catostomidae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa - Fish Stat. #2.",NA,NA,1969,1,9,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973","control_1964-1973",4
"4","TU","Fish",31086,7,"Carpiodes velifer","Catostomidae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks, 1.4 miles E of Hwy. 7 in Bogalusa.",NA,NA,1964,2,20,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973","control_1964-1973",4
"2","TU","Fish",31028,7,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek, 1.5 miles E of Hwy. 7 in Bogalusa, LA (left bank).",NA,NA,1964,1,17,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973","control_1964-1973",4
"9","TU","Fish",33211,5,"Carpiodes velifer","Catostomidae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek, 1.5 mi. E of Hwy. 7 in Bogalusa.",NA,NA,1964,6,11,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973","control_1964-1973",4
