"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","ACANTH.BB","ACANTH.CYA","ACANTH.THIN","CEST.BOT","MONO.GYRO","NEM.HEATH","NEM.LARV","NEM.SQUIG","NEM.UNK","TREM.CHONK","TREM.CL","TREM.ENDOUS","TREM.ISPOT","TREM.PHLB","TREM.SK"
"1",30034,1963,10,"23","30034_02","SC JT KL","07/25/2024","F",54,46,"1190","impact","impact_1954-1963",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",30034,1963,10,"25","30034_01","JT SC DMDM","07/25/2024","F",52,42,"1063","impact","impact_1954-1963",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",30988,1963,11,"22","30988_01","SC","07/25/2024",NA,53,46,"1119","impact","impact_1954-1963",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",30988,1963,11,"22","30988_02","KL DJB CLW","07/25/2024",NA,56,48,"1196","impact","impact_1954-1963",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",31295,1963,12,"13","31295_02","sc kl","07/25/2024","f",52,44,"1149","impact","impact_1954-1963",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",31295,1963,12,"13","31295_01","JT IJ GMC","07/25/2024",NA,51,44,"1123","impact","impact_1954-1963",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",31813,1963,11,"14-15","31813_02","JT DJB CLW","07/25/2024",NA,59,47,"1598","impact","impact_1954-1963",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",31813,1963,11,"14-15","31813_01","JT GMC","07/25/2024",NA,55,44,"1382","impact","impact_1954-1963",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",31830,1963,11,"15","31830_02","DJB IJ GMC","07/26/2024",NA,55,47,"1253","impact","impact_1954-1963",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",31830,1963,11,"15","31830_01","SC IJ DMDM","07/26/2024",NA,52,45,"1108","impact","impact_1954-1963",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",33226,1964,6,"11","33226_02","JT DMDM","07/26/2024",NA,31,26,"192","control","control_1964-1973",30.76805,-89.83083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",33226,1964,6,"11","33226_01","DJB CJW","07/26/2024",NA,34,29,"281","control","control_1964-1973",30.76805,-89.83083,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"13",33226,1964,6,"11","33226_03","sc ij kl","07/26/2024","na",31,27,"159","control","control_1964-1973",30.76805,-89.83083,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"14",33226,1964,6,"11","33226_04","SC DMDM GMC","07/26/2024",NA,31,25,"196","control","control_1964-1973",30.76805,-89.83083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",34758,1964,10,"16","34758_02","kl dmdm","07/25/2024","na",50,42,"727","control","control_1964-1973",30.77861,-89.82972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",34758,1964,10,"16","34758_03","kl dmdm","07/26/2024","f",39,33,"322","control","control_1964-1973",30.77861,-89.82972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",34758,1964,10,"16","34758_01","kl gmc","07/25/2024","na",43,36,"458","control","control_1964-1973",30.77861,-89.82972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",34758,1964,10,"16","34758_04","KL DMDM","07/26/2024",NA,48,40,"637","control","control_1964-1973",30.77861,-89.82972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",41040,1966,7,"3","41040_02","IJ","07/26/2024","na",33,27,"269","impact","impact_1964-1973",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",41040,1966,7,"3","41040_01","IJ JT KL","07/26/2024","na",41,33,"467","impact","impact_1964-1973",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",42166,1966,10,"29","42166_01","KL ACL GMC","04/17/2024","M",55,46,"na","impact","impact_1964-1973",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",42166,1966,10,"29","42166_02","KL GMC","04/17/2024","M",54,46,"na","impact","impact_1964-1973",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",51617,1968,4,"17","51617_01","SC IJ KL","07/26/2024",NA,49,41,"780","impact","impact_1964-1973",30.70222,-89.84417,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"24",51617,1968,4,"17","51617_02","jt kl dmdm","07/26/2024","na",51,42,"871","impact","impact_1964-1973",30.70222,-89.84417,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"25",64889,1970,10,"27","64889_02","kl","07/12/2023","na",47,40,"na","impact","impact_1964-1973",30.74055,-89.82694,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"26",64889,1970,10,"27","64889_01","KL","07/11/23",NA,44,39,"na","impact","impact_1964-1973",30.74055,-89.82694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",68677,1971,4,"20","68677_02","ht acl gmc","04/22/2024","f",38,33,"na","control","control_1964-1973",30.76805,-89.83083,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2
"28",68677,1971,4,"20","68677_01","ht cjw kl","04/22/2024","m",54,46,"na","control","control_1964-1973",30.76805,-89.83083,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"29",70585,1971,7,"15","70585_02","SC IJ DMDM","07/25/2024",NA,42,37,"493","impact","impact_1964-1973",30.74055,-89.82694,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"30",70585,1971,7,"15","70585_01","DJB CJW","07/25/2024",NA,34,29,"250","impact","impact_1964-1973",30.74055,-89.82694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",72382,1971,10,"26","72382_01","DJB KL","07/25/2024","F",51,41,"843","control","control_1964-1973",30.76805,-89.83083,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
"32",72382,1971,10,"26","72382_02","DJB SC DMDM","07/25/2024","F",41,35,"472","control","control_1964-1973",30.76805,-89.83083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",72382,1971,10,"26","72382_04","djb gmc","07/29/2024","na",44,36,"571","control","control_1964-1973",30.76805,-89.83083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
